ts,nav,day_pnl
2026-08-31T19:24:19.322790+00:00,100000.00,0.00
2026-09-01T13:32:05.080858+00:00,100000.00,0.00
2026-09-01T13:35:06.295956+00:00,100000.00,0.00
2026-09-01T13:52:13.096080+00:00,100000.00,0.00
2026-09-01T14:07:17.851156+00:00,100000.00,0.00
2026-09-01T14:22:24.474025+00:00,100000.00,0.00
2026-09-01T14:37:22.962498+00:00,100000.00,0.00
2026-09-01T14:52:25.914010+00:00,100000.00,0.00
2026-09-01T15:07:28.870315+00:00,100000.00,0.00
2026-09-01T15:22:36.967126+00:00,100000.00,0.00
2026-09-01T15:51:56.879298+00:00,100000.00,0.00
2026-09-01T16:07:04.612887+00:00,100000.00,0.00
2026-09-01T16:22:11.686068+00:00,100000.00,0.00
2026-09-01T16:37:10.399237+00:00,100000.00,0.00
2026-09-01T16:52:09.644720+00:00,100000.00,0.00
2026-09-01T17:07:16.034518+00:00,100000.00,0.00
2026-09-01T17:10:30.387958+00:00,100000.00,0.00
2026-09-01T17:22:21.165924+00:00,100000.00,0.00
2026-09-01T17:37:21.529458+00:00,100000.00,0.00
2026-09-01T17:52:22.517880+00:00,100000.00,0.00
2026-09-01T18:07:30.056368+00:00,100000.00,0.00
2026-09-01T18:22:27.802935+00:00,100000.00,0.00
2026-09-01T18:37:34.775354+00:00,100000.00,0.00
2026-09-01T19:56:40.802929+00:00,100000.00,0.00
2026-09-02T15:00:41.610372+00:00,100000.00,0.00
2026-09-02T15:03:03.493325+00:00,100000.00,0.00
2026-09-02T15:18:11.650475+00:00,100000.00,0.00
2026-09-02T15:22:17.620485+00:00,100000.00,0.00
2026-09-02T15:33:13.549906+00:00,100000.00,0.00
2026-09-02T15:37:19.820728+00:00,100000.00,0.00
2026-09-02T15:48:13.009159+00:00,100000.00,0.00
2026-09-02T15:52:26.913959+00:00,100000.00,0.00
2026-09-02T16:03:21.610288+00:00,100000.00,0.00
2026-09-02T16:07:22.267631+00:00,100000.00,0.00
2026-09-02T16:18:24.028425+00:00,100000.00,0.00
2026-09-02T16:22:25.816971+00:00,100000.00,0.00
2026-09-02T16:33:31.062198+00:00,100000.00,0.00
2026-09-02T16:37:29.098546+00:00,100000.00,0.00
2026-09-02T16:48:31.740153+00:00,100000.00,0.00
2026-09-02T16:52:36.908640+00:00,100000.00,0.00
2026-09-02T17:01:00.265310+00:00,100000.00,0.00
2026-09-02T17:03:33.245062+00:00,100000.00,0.00
2026-09-02T17:07:39.785609+00:00,100000.00,0.00
2026-09-02T17:18:37.433569+00:00,100000.00,0.00
2026-09-02T17:22:41.703523+00:00,100000.00,0.00
2026-09-02T17:33:40.589437+00:00,100000.00,0.00
2026-09-02T17:37:42.873916+00:00,100000.00,0.00
2026-09-02T17:48:40.571426+00:00,100000.00,0.00
2026-09-02T17:52:48.546793+00:00,100000.00,0.00
2026-09-02T18:03:49.274385+00:00,100000.00,0.00
2026-09-02T18:07:54.159566+00:00,100000.00,0.00
2026-09-02T18:18:50.509364+00:00,100000.00,0.00
2026-09-02T18:22:54.277649+00:00,100000.00,0.00
2026-09-02T18:33:56.612896+00:00,100000.00,0.00
2026-09-02T18:38:00.167887+00:00,100000.00,0.00
2026-09-02T18:49:00.926077+00:00,100000.00,0.00
2026-09-02T18:53:01.035037+00:00,100000.00,0.00
2026-09-02T19:03:57.635510+00:00,100000.00,0.00
2026-09-02T19:08:05.601006+00:00,100000.00,0.00
2026-09-02T19:19:05.123042+00:00,100000.00,0.00
2026-09-02T19:23:07.546925+00:00,100000.00,0.00
2026-09-02T19:34:07.346250+00:00,100000.00,0.00
2026-09-02T19:38:09.899062+00:00,100000.00,0.00
2026-09-02T19:47:22.257185+00:00,100000.00,0.00
2026-09-02T19:49:08.820839+00:00,100000.00,0.00
